time (s),T1 (K),P1 (Bar),V1 (m3)
1.7387999999998738,1344.970466348335,136140.95211233213,1.0
1.7391999999998737,1344.7720007888065,136120.8606426177,1.0
1.7395999999998737,1344.5736431592782,136100.780101439,1.0
1.7399999999998736,1344.3753934072524,136080.71048347585,1.0
1.7403999999998736,1344.1772514803222,136060.6517834173,1.0
1.7407999999998736,1343.979217326077,136040.60399595214,1.0
1.7411999999998735,1343.7812908932713,136020.56711588768,1.0
1.7415999999998735,1343.5834721289687,136000.54113785905,1.0
1.7419999999998734,1343.3857609808463,135980.52605656403,1.0
1.7423999999998734,1343.188157396572,135960.5218666994,1.0
1.7427999999998733,1342.9906613241092,135940.5285629919,1.0
1.7431999999998733,1342.7932727120667,135920.54614023413,1.0
1.7435999999998733,1342.5959915076457,135900.57459307526,1.0
1.7439999999998732,1342.3988176586176,135880.6139162227,1.0
1.7443999999998732,1342.2017511127444,135860.6641043828,1.0
1.7447999999998731,1342.0047918184264,135840.72515232686,1.0
1.745199999999873,1341.8079397238805,135820.79705480757,1.0
1.745599999999873,1341.6111947765792,135800.87980650182,1.0
1.745999999999873,1341.4145569243858,135780.97340212637,1.0
1.746399999999873,1341.2180261151573,135761.0778363973,1.0
1.746799999999873,1341.0216022980615,135741.19310416392,1.0
1.7471999999998729,1340.8252854208047,135721.31920012707,1.0
1.7475999999998728,1340.6290754311565,135701.45611899393,1.0
1.7479999999998728,1340.4329722771113,135681.6038554946,1.0
1.7483999999998727,1340.2369759066544,135661.7624043582,1.0
1.7487999999998727,1340.0410862677634,135641.9317603132,1.0
1.7491999999998726,1339.8453033084063,135622.1119180869,1.0
1.7495999999998726,1339.649626976545,135602.30287240617,1.0
1.7499999999998725,1339.4540572221836,135582.5046182055,1.0
1.7503999999998725,1339.2585939925982,135562.71715014204,1.0
1.7507999999998725,1339.063237235657,135542.94046293298,1.0
1.7511999999998724,1338.8679868995139,135523.17455132474,1.0
1.7515999999998724,1338.6728429323293,135503.41941006435,1.0
1.7519999999998723,1338.47780528227,135483.67503389955,1.0
1.7523999999998723,1338.2828738975093,135463.94141757864,1.0
1.7527999999998722,1338.088048726225,135444.2185558504,1.0
1.7531999999998722,1337.893329718136,135424.5064436205,1.0
1.7535999999998721,1337.6987168208077,135404.80507557542,1.0
1.753999999999872,1337.5042099824473,135385.114446467,1.0
1.754399999999872,1337.3098091514187,135365.43455106308,1.0
1.754799999999872,1337.1155142761004,135345.76538413292,1.0
1.755199999999872,1336.9213253048922,135326.10694044796,1.0
1.755599999999872,1336.727242186207,135306.45921478097,1.0
1.7559999999998719,1336.5332648684787,135286.82220190688,1.0
1.7563999999998718,1336.3393933006578,135267.195896653,1.0
1.7567999999998718,1336.1456274309726,135247.58029377353,1.0
1.7571999999998718,1335.9519672079296,135227.97538805066,1.0
1.7575999999998717,1335.7584125800806,135208.3811742715,1.0
1.7579999999998717,1335.5649634959966,135188.79764722477,1.0
1.7583999999998716,1335.3716199042697,135169.22480170164,1.0
1.7587999999998716,1335.1783817535143,135149.6626324954,1.0
1.7591999999998715,1334.9852489923642,135130.11113440132,1.0
1.7595999999998715,1334.792221569348,135110.57030220397,1.0
1.7599999999998714,1334.5992994332112,135091.04013070997,1.0
1.7603999999998714,1334.4064825326384,135071.52061471995,1.0
1.7607999999998714,1334.2137708163368,135052.01174903658,1.0
1.7611999999998713,1334.0211642330316,135032.51352846454,1.0
1.7615999999998713,1333.828662731469,135013.0259478106,1.0
1.7619999999998712,1333.6362662604142,134993.54900188334,1.0
1.7623999999998712,1333.4439747686483,134974.0826854932,1.0
1.7627999999998711,1333.251788204802,134954.62699343511,1.0
1.763199999999871,1333.059706517798,134935.18192053383,1.0
1.763599999999871,1332.867729656467,134915.74746160474,1.0
1.763999999999871,1332.6758575696588,134896.32361146517,1.0
1.764399999999871,1332.4840902062415,134876.91036493433,1.0
1.764799999999871,1332.2924275151001,134857.50771683303,1.0
1.7651999999998709,1332.1008694451432,134838.11566198475,1.0
1.7655999999998708,1331.9094159452914,134818.73419521394,1.0
1.7659999999998708,1331.718066964447,134799.36331134324,1.0
1.7663999999998707,1331.5268224515976,134780.00300520408,1.0
1.7667999999998707,1331.335682355719,134760.6532716266,1.0
1.7671999999998707,1331.1446466258083,134741.31410544313,1.0
1.7675999999998706,1330.95371521088,134721.98550148774,1.0
1.7679999999998706,1330.7628880599673,134702.66745459658,1.0
1.7683999999998705,1330.5721651221243,134683.3599596077,1.0
1.7687999999998705,1330.3815463464225,134664.06301136108,1.0
1.7691999999998704,1330.1910316819792,134644.77660470127,1.0
1.7695999999998704,1330.0006210778863,134625.50073447026,1.0
1.7699999999998703,1329.8103144832744,134606.23539551406,1.0
1.7703999999998703,1329.6201118472907,134586.98058268026,1.0
1.7707999999998703,1329.4300131191044,134567.73629081875,1.0
1.7711999999998702,1329.2400182479,134548.50251478102,1.0
1.7715999999998702,1329.0501271828828,134529.27924942056,1.0
1.7719999999998701,1328.8603398732807,134510.06648959333,1.0
1.77239999999987,1328.6706562683617,134490.86423015915,1.0
1.77279999999987,1328.4810763173714,134471.67246597577,1.0
1.77319999999987,1328.2915999695958,134452.49119190496,1.0
1.77359999999987,1328.1022271743336,134433.32040280977,1.0
1.77399999999987,1327.9129578809095,134414.16009355595,1.0
1.7743999999998699,1327.7237920386626,134395.01025901077,1.0
