time (s),T1 (K),P1 (Bar),V1 (m3),YPOME,YCO2,YO2,Y_CO,Y_H2O,Y_OH,Y_H2O2
0.06419999999999979,1219.9357417243955,1609894.6171938716,1.0,4.4106164429357245e-07,0.011619016795726852,0.028121252742777103,0.025317790263947957,0.02280043420959848,6.352860713350943e-07,1.8550780930025605e-05
0.06439999999999979,1232.7525826193953,1627002.9502272238,1.0,8.064922863930291e-08,0.012124385945570708,0.027200026786617537,0.025562566484485974,0.02350562745777766,7.55948745907009e-07,1.5506804410016178e-05
0.0645999999999998,1247.4128492798095,1646359.7763421836,1.0,9.253418282425682e-09,0.012680901689428878,0.026146325493324137,0.025752439185669836,0.02428831306779609,9.268775731248251e-07,1.2934807924605173e-05
0.0647999999999998,1264.6180577844052,1668882.300198551,1.0,5.309529413608516e-10,0.013330794724175268,0.024910701805554842,0.025885526806254146,0.02517860588796294,1.1825921733231297e-06,1.0681134663870746e-05
0.06499999999999981,1285.506349888009,1696054.4824404956,1.0,1.0150195479888906e-11,0.014151590562077385,0.023413612889988226,0.025950850201303943,0.02622241702172863,1.6090540945307499e-06,8.64727106610394e-06
0.06519999999999981,1312.3353510330357,1730786.2367743496,1.0,1.3892015717681083e-13,0.015311559619174535,0.02150068788575966,0.025902600937784282,0.02750180606320982,2.469715421102699e-06,6.726771916119747e-06
0.06539999999999982,1351.1029328272882,1780681.1043658962,1.0,3.101591626756632e-14,0.01732678881656328,0.018776911842822413,0.02552459435146405,0.02919740553675738,5.103961141269337e-06,4.724735089758061e-06
0.06559999999999983,1468.2715120098733,1927110.0505773972,1.0,1.514705534417724e-21,0.029673042655474713,0.01114389023013856,0.018944079568665163,0.03185982554374785,0.00012681416529761638,1.7521194930196008e-06
0.06579999999999983,1632.116320161175,2124352.0752375387,1.0,2.1955352949409083e-41,0.05550626663260791,0.0017091287398358333,0.002506385218566044,0.03199013739562269,0.00012098046860775629,2.777259837783877e-07
0.06599999999999984,1646.2681834580558,2141172.593169192,1.0,2.384299832332562e-44,0.05741307961170587,0.0009267349428164923,0.001292780352480866,0.032145181584318866,7.7719074119098e-05,1.0341724272520531e-07
0.06619999999999984,1650.7036551839535,2146436.0408141473,1.0,6.566880885573035e-46,0.05797731011761913,0.0006815945294509146,0.0009336714901577889,0.032210222517401646,6.082529315274184e-05,6.133336650290654e-08
0.06639999999999985,1652.944323473378,2149093.399966531,1.0,6.64987880104452e-47,0.05825525365596691,0.0005576343154323802,0.0007567721317052964,0.032246702111612055,5.1572795429847864e-05,4.3369833712787616e-08
0.06659999999999985,1654.3290155718742,2150735.0696677784,1.0,1.190186247831721e-47,0.058424543224223906,0.0004809739814071751,0.0006490264356869459,0.03227053438858422,4.5588259617896305e-05,3.353881439057018e-08
0.06679999999999986,1655.2848184918003,2151868.0204770276,1.0,2.990535242614433e-48,0.05854027982343407,0.0004280330088745035,0.0005753649481451791,0.03228757402880265,4.132849075533051e-05,2.7364615533048796e-08
0.06699999999999987,1655.9922182352698,2152706.4070160096,1.0,1.2094795472135501e-48,0.05862534683007013,0.00038883866515796454,0.0005212233661386676,0.03230049924177262,3.8103229245273126e-05,2.3134149245760457e-08
0.06719999999999987,1656.5414571029903,2153357.2755561685,1.0,3.93743453280827e-49,0.058691047474388365,0.0003584012027246847,0.00047940765995368816,0.03231072023720743,3.555396395790121e-05,2.0056446730784532e-08
0.06739999999999988,1656.9830364372806,2153880.5189392185,1.0,2.1104846386762256e-49,0.058743649935020285,0.00033392668017800074,0.00044592839773439815,0.03231905593994646,3.3474353856426526e-05,1.7717368653177874e-08
0.06759999999999988,1657.3476011003802,2154312.4751561997,1.0,-2.8376397615391247e-49,0.058786930778021176,0.0003137189201468806,0.000418381953983512,0.032326017418290574,3.173640217145846e-05,1.5879566465219732e-08
0.06779999999999989,1657.6549182869262,2154676.580741058,1.0,1.7117336819610244e-48,0.058823311995689416,0.0002966834137444978,0.00039522683236853476,0.03233194171630927,3.0256046651929027e-05,1.4397411160437288e-08
0.0679999999999999,1657.9183624261984,2154988.6911431844,1.0,-3.8828073801186656e-50,0.05885442444702702,0.00028207939852089545,0.00037542505962280434,0.032337061025272396,2.897554222248612e-05,1.3176659145348731e-08
0.0681999999999999,1658.1473367603403,2155259.952981004,1.0,1.0545268316990332e-50,0.05888141008481729,0.00026938593674038776,0.0003582498307336252,0.03234154106659424,2.7853755782453368e-05,1.21536498761948e-08
0.0683999999999999,1658.348664120508,2155498.4534496944,1.0,1.2084868532177995e-49,0.058905094588195664,0.00025822497173342353,0.0003431756355742087,0.032345503628720525,2.686049795047432e-05,1.1283843116975576e-08
0.06859999999999991,1658.5274274436122,2155710.2170373024,1.0,-7.740223857112365e-49,0.05892609119812046,0.00024831481141417155,0.00032981217197359803,0.032349040446390434,2.597304756604208e-05,1.053514551468143e-08
0.06879999999999992,1658.687499132996,2155899.8332044207,1.0,6.127439331255929e-48,0.05894486584603984,0.00023944082380003594,0.00031786289420335706,0.032352222081868956,2.5173935236736092e-05,9.883848399084623e-09
0.06899999999999992,1658.8318865133904,2156070.86596797,1.0,1.2937311254639873e-49,0.05896177950647595,0.00023143630789872524,0.00030709805692883513,0.03235510380082528,2.4449480922256767e-05,9.31205817269298e-09
0.06919999999999993,1658.9629644563597,2156226.129693151,1.0,4.45063423512129e-50,0.058977116622658254,0.0002241696109074572,0.0002973366241035522,0.03235772957681117,2.3788798812070435e-05,8.806016349586212e-09
0.06939999999999993,1659.082635985226,2156367.8794867354,1.0,1.338414827295038e-50,0.05899110467847012,0.00021753523076459185,0.00028843381172107875,0.03236013488629034,2.3183104588755216e-05,8.354970111329719e-09
0.06959999999999994,1659.1924459396673,2156497.945937708,1.0,-1.2513295586471128e-49,0.059003928012723264,0.00021144751899391015,0.0002802722958562462,0.03236234870523882,2.2625220857509924e-05,7.950393593071034e-09
0.06979999999999995,1659.2936627786266,2156617.832083079,1.0,-2.5276503894192697e-49,0.05901573773845289,0.00020583614788447833,0.00027275589938771606,0.03236439495859413,2.2109218531212014e-05,7.585440045871532e-09
0.06999999999999995,1659.3873390300491,2156728.785059212,1.0,-2.5852418737179774e-49,0.059026659057130365,0.00020064276042045778,0.0002658049368268548,0.03236629359975713,2.163014995509967e-05,7.254546668904242e-09
0.07019999999999996,1659.4743560035772,2156831.8490979825,1.0,-5.417543312381304e-49,0.05903679665814017,0.00019581849216393003,0.00025935277775614504,0.0323680614146817,2.1183850229694317e-05,6.953147815694988e-09
0.07039999999999996,1659.5554580793437,2156927.9061662676,1.0,1.5150933026882604e-48,0.059046238852020184,0.00019132207062817655,0.000253343216247607,0.0323697126424641,2.0766783940643616e-05,6.677459975675061e-09
0.07059999999999997,1659.6312786119736,2157017.706666304,1.0,-2.7477853918646332e-49,0.05905506068831047,0.00018711837890318024,0.0002477284862947654,0.03237125944717535,2.0375928903112904e-05,6.424322260131919e-09
0.07079999999999997,1659.7023603813388,2157101.893673734,1.0,-9.057865486337518e-49,0.059063326411151675,0.00018317732318780445,0.00024246769941707833,0.03237271229182502,2.0008683124945858e-05,6.191071989717289e-09
0.07099999999999998,1659.769171512197,2157181.021801999,1.0,-2.3490816457422614e-48,0.059071091372350636,0.00017947294782554458,0.00023752562632264532,0.032374080231905696,1.9662793706207233e-05,5.975451910997351e-09
0.07119999999999999,1659.8321181454603,2157255.5722203827,1.0,-1.1137362567098838e-49,0.059078403546252635,0.0001759827357033318,0.000232871733387582,0.03237537114925724,1.9336297265060385e-05,5.7755322293312104e-09
0.07139999999999999,1659.8915545660852,2157325.9646551576,1.0,2.226183884662288e-50,0.05908530474396373,0.00017268704436114544,0.00022847940961620661,0.0323765919403898,1.902747484585123e-05,5.589659219928574e-09
0.0716,1659.9477913926712,2157392.5670941966,1.0,-1.745371364519262e-49,0.0590918315913886,0.00016956865286896767,0.00022432534413040033,0.03237774866891831,1.8734813984362126e-05,5.41640000644649e-09
0.0718,1660.0011022416552,2157455.703684315,1.0,6.984255097263726e-49,0.05909801632475802,0.00016661239214893427,0.00022038901994742742,0.032378846690771824,1.84569774049597e-05,5.2545144729233474e-09
0.07200000000000001,1660.0517291882568,2157515.6612018202,1.0,8.739363509047528e-49,0.05910388744219404,0.00016380484216493006,0.0002166522991857495,0.03237989075636759,1.819277814905892e-05,5.102917171656994e-09
0.07220000000000001,1660.0998872773114,2157572.694397637,1.0,8.361232753481898e-49,0.059109470241229915,0.00016113408144161659,0.0002130990809795581,0.032380885095867416,1.7941158653037383e-05,4.96065705390715e-09
0.07240000000000002,1660.1457682834982,2157627.030453504,1.0,1.2658225698378696e-49,0.05911478726538377,0.0001585894796260295,0.00020971501743081153,0.03238183349053445,1.77011719070195e-05,4.826901670723657e-09
0.07260000000000003,1660.189543807217,2157678.8726488724,1.0,6.87577889242152e-51,0.05911985867388531,0.0001561615243050263,0.00020648727794332498,0.03238273933083847,1.7471969053687835e-05,4.700907198423392e-09
0.07280000000000003,1660.2313679365284,2157728.403516243,1.0,-3.9690102382250484e-52,0.05912470255683194,0.00015384167438336444,0.00020340434896098803,0.032383605667807576,1.7252785055227545e-05,4.582021016715401e-09
0.07300000000000004,1660.2713795787417,2157775.787602985,1.0,-1.5190603274249485e-53,0.05912933521223604,0.0001516222305137898,0.0002004558574754207,0.03238443525716271,1.704292849161805e-05,4.469658390599473e-09
0.07320000000000004,1660.3097041622434,2157821.173487999,1.0,-1.3521545294157118e-52,0.059133771347919306,0.00014949624071977828,0.00019763244257365995,0.032385230591969,1.684177333444907e-05,4.363297972700519e-09
0.07340000000000005,1660.3464552954254,2157864.695747201,1.0,-9.26391111234926e-53,0.05913802427835237,0.0001474574084093108,0.00019492563015214827,0.032385993934356753,1.6648751077669026e-05,4.262472767275091e-09
0.07360000000000005,1660.381736261882,2157906.4767249725,1.0,6.434872864310531e-52,0.05914210610155259,0.00014550000945300705,0.00019232772032899096,0.032386727344394094,1.6463343570889815e-05,4.166762899183002e-09
0.07380000000000006,1660.4156410786998,2157946.627788029,1.0,-8.703980396246995e-52,0.05914602782438971,0.00014361883349256252,0.00018983170769179794,0.03238743270043291,1.6285078010964883e-05,4.075790127182986e-09
0.07400000000000007,1660.4482555534898,2157985.2505777827,1.0,2.3832785284572716e-52,0.05914979948769198,0.00014180912533556396,0.00018743120167379886,0.03238811171950662,1.6113521845706065e-05,3.989212861562561e-09
0.07420000000000007,1660.4796582650888,2158022.4381721546,1.0,2.571866007998686e-53,0.05915343028216626,0.00014006653055559932,0.00018512035277436987,0.032388765976321905,1.5948278079187193e-05,3.906721348959648e-09
0.07440000000000008,1660.5099212931361,2158058.2759499555,1.0,8.657711720191e-53,0.0591569286344318,0.00013838705504082185,0.0001828937978023199,0.03238939691749402,1.5788981724990118e-05,3.828034324320928e-09
0.07460000000000008,1660.5391108350818,2158092.842321906,1.0,7.943520831830107e-52,0.05916030228004489,0.00013676703078497536,0.00018074661340125069,0.03239000587343263,1.563529685869491e-05,3.752895944076677e-09
0.07480000000000009,1660.5672878444725,2158126.2094867774,1.0,-1.0726659988944091e-51,0.059163558338745,0.00013520308047955187,0.00017867426815157557,0.03239059407082741,1.5486913516526906e-05,3.681072851991647e-09
0.0750000000000001,1660.5945085630296,2158158.444061773,1.0,2.7646362820269756e-51,0.05916670337723042,0.00013369208802861468,0.00017667258262890755,0.03239116264298388,1.5343545121002478e-05,3.612351655990963e-09
